"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript React", "TypeScript", "pip requirements", "Python", "HTML", "comment", "blank", "total"
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/menu-bar/MenuModel.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/menu-bar/MenuNavigationModel.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/menu-bar/index.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/server-coms/CallModel.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/server-coms/ReceiveData.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/server-coms/SubscriptionModel.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/serviceWorker.ts", "TypeScript", 0, 0, 0, 0, 0, 102, 0, 0, 0, 31, 14, 147
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/setupTests.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/hooks.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 2, 7
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/middlewares/AnalysisMiddleware.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 5, 50
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/middlewares/ServerMiddleware.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 8, 47
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/reducers/analysis.ts", "TypeScript", 0, 0, 0, 0, 0, 130, 0, 0, 0, 20, 22, 172
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/reducers/export.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/reducers/guide.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/reducers/import.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 20, 4, 25
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/reducers/map.ts", "TypeScript", 0, 0, 0, 0, 0, 96, 0, 0, 0, 1, 5, 102
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/reducers/server.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/redux-toolkit-utils.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 7, 40
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/store/store.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/utils/color-scale-utils.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/utils/files-utils.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 3, 25
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/utils/layers-utils.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 13, 67
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
